claim_id,claim_claimnumber,policy_number,incident_id,claim_lossdate,claim_reporteddate,claim_status,claim_closedate,claim_losstype,claim_lob,claim_severity,claim_loss_add_state,claim_glass_ind,claim_primary_group,claim_primary_adjuster_id,claim_litigation_ind,claim_subrogation_status,claim_salvage_status,claim_litigation_status,claim_fatalities,claim_large_loss,claim_coverage_in_question,claim_siu_status,claim_siu_score,claim_resolution
CLM01-10002,IA01-10002,POL01-1023755,INC01-100003,2018-10-22 00:00:00.000000,2018-10-23 00:00:00.000000,Open,,GLASS,AUTO,LOW,MS,Y,Glass,ADJ01-1011835,,,,Open,,,Y,Unassigned,,
CLM01-10004,IA01-10004,POL01-1006085,INC01-100005,2018-10-14 00:00:00.000000,2018-10-18 00:00:00.000000,Open,,PD,AUTO,HIGH,OK,,Medical Claims,ADJ01-1004169,,,,Open,Y,Y,Y,Unassigned,,
CLM01-10005,IA01-10005,POL01-1019503,INC01-100006,2018-06-17 00:00:00.000000,2018-06-21 00:00:00.000000,Open,,GLASS,AUTO,LOW,OK,Y,houseowners compound,ADJ01-1011592,,,,Close,Y,Y,Y,Unassigned,,
CLM01-10008,IA01-10008,POL01-1005456,INC01-100009,2018-03-23 00:00:00.000000,2018-03-24 00:00:00.000000,Open,,COMP,AUTO,MEDIUM,TX,,Physical,ADJ01-1011715,,Y,Y,Open,Y,Y,Y,Unassigned,,
CLM01-10009,IA01-10009,POL01-1021689,INC01-100010,2018-11-02 00:00:00.000000,2018-11-02 00:00:00.000000,Open,,BI,AUTO,HIGH,IL,,Analyst Vendor IPD,ADJ01-1009694,,,,Open,,,Y,Unassigned,,
CLM01-10010,IA01-10010,POL01-1004575,INC01-100011,2018-11-20 00:00:00.000000,2018-11-25 00:00:00.000000,Open,,PD,AUTO,HIGH,MS,,Tow,ADJ01-1002466,,,,Open,Y,,Y,Unassigned,,
CLM01-10013,IA01-10013,POL01-1016902,INC01-100014,2018-07-22 00:00:00.000000,2018-07-23 00:00:00.000000,Open,,COL,AUTO,MEDIUM,MT,,General,ADJ01-1010027,,Y,Y,Close,Y,,Y,Unassigned,,
CLM01-10014,IA01-10014,POL01-1015127,INC01-100015,2018-10-05 00:00:00.000000,2018-10-08 00:00:00.000000,Open,,PD,AUTO,HIGH,NC,,Analyst Vendor IPD,ADJ01-1014047,,,,Open,Y,Y,,Unassigned,,
CLM01-10018,IA01-10018,POL01-1004644,INC01-100019,2018-05-01 00:00:00.000000,2018-05-06 00:00:00.000000,Open,,PD,AUTO,HIGH,NH,,General,ADJ01-1009020,,,,Open,,,,Assigned,6,
CLM01-10022,IA01-10022,POL01-1021121,INC01-100023,2018-02-06 00:00:00.000000,2018-02-10 00:00:00.000000,Open,,BI,AUTO,HIGH,WV,,Tow,ADJ01-1009059,,,,Open,,,,Unassigned,,
CLM01-10023,IA01-10023,POL01-1005663,INC01-100024,2018-10-15 00:00:00.000000,2018-10-16 00:00:00.000000,Open,,BI,AUTO,HIGH,MN,,Injury-Compound,ADJ01-1017435,,,,Open,,,,Unassigned,,
CLM01-10024,IA01-10024,POL01-1008889,INC01-100025,2019-01-05 00:00:00.000000,2019-01-07 00:00:00.000000,Open,,COMP,AUTO,MEDIUM,CT,,Physical,ADJ01-1018839,,Y,Y,Open,,Y,Y,Unassigned,,
CLM01-10029,IA01-10029,POL01-1023306,INC01-100030,2018-10-23 00:00:00.000000,2018-10-26 00:00:00.000000,Open,,BI,AUTO,HIGH,IL,,FastTrack,ADJ01-1018509,Y,,,Open,,Y,Y,Unassigned,,
CLM01-10030,IA01-10030,POL01-1004038,INC01-100031,2018-10-23 00:00:00.000000,2018-10-24 00:00:00.000000,Open,,BI,AUTO,HIGH,WV,,General,ADJ01-1017493,Y,,,Open,,,Y,Unassigned,,
CLM01-10034,IA01-10034,POL01-1002146,INC01-100035,2019-01-07 00:00:00.000000,2019-01-10 00:00:00.000000,Open,,COL,AUTO,MEDIUM,WI,,Subrogation,ADJ01-1004640,,Y,Y,Close,Y,,Y,Unassigned,,
CLM01-10035,IA01-10035,POL01-1017763,INC01-100036,2018-02-21 00:00:00.000000,2018-02-26 00:00:00.000000,Open,,COL,AUTO,MEDIUM,VA,,Tow,ADJ01-1006498,,Y,Y,Open,,Y,,Unassigned,,
CLM01-10037,IA01-10037,POL01-1017578,INC01-100038,2018-11-03 00:00:00.000000,2018-11-03 00:00:00.000000,Open,,PD,AUTO,HIGH,CT,,Salvage,ADJ01-1016106,,,,Open,Y,Y,Y,Unassigned,,
CLM01-10042,IA01-10042,POL01-1003012,INC01-100043,2018-12-24 00:00:00.000000,2018-12-29 00:00:00.000000,Open,,GLASS,AUTO,LOW,SC,Y,Glass,ADJ01-1000523,,,,Open,Y,Y,,Unassigned,,
CLM01-10043,IA01-10043,POL01-1023454,INC01-100044,2019-01-09 00:00:00.000000,2019-01-10 00:00:00.000000,Open,,COMP,AUTO,MEDIUM,WV,,houseowners compound,ADJ01-1019654,,Y,Y,Open,Y,Y,Y,Unassigned,,
