claim_id,claim_claimnumber,policy_number,incident_id,claim_lossdate,claim_reporteddate,claim_status,claim_closedate,claim_losstype,claim_lob,claim_severity,claim_loss_add_state,claim_glass_ind,claim_primary_group,claim_primary_adjuster_id,claim_litigation_ind,claim_subrogation_status,claim_salvage_status,claim_litigation_status,claim_fatalities,claim_large_loss,claim_coverage_in_question,claim_siu_status,claim_siu_score,claim_resolution
CLM01-10000,IA01-10000,POL01-1003585,INC01-100001,2018-09-25 00:00:00.000000,2018-09-26 00:00:00.000000,Open,,GLASS,AUTO,LOW,MI,Y,Fire/Theft,ADJ01-1013498,,,,Close,,,,Unassigned,,
CLM01-10001,IA01-10001,POL01-1002393,INC01-100002,2018-05-28 00:00:00.000000,2018-06-01 00:00:00.000000,Open,,GLASS,AUTO,LOW,CA,Y,Fire/Theft,ADJ01-1001485,,,,Open,Y,Y,Y,Unassigned,,
CLM01-10003,IA01-10003,POL01-1004135,INC01-100004,2018-10-02 00:00:00.000000,2018-10-02 00:00:00.000000,Open,,PD,AUTO,HIGH,SC,,Physical,ADJ01-1016775,,,,Close,Y,Y,,Unassigned,,
CLM01-10008,IA01-10008,POL01-1011684,INC01-100009,2019-01-13 00:00:00.000000,2019-01-16 00:00:00.000000,Open,,BI,AUTO,HIGH,AR,,Glass,ADJ01-1011486,,,,Open,,,Y,Unassigned,,
CLM01-10010,IA01-10010,POL01-1014526,INC01-100011,2018-10-08 00:00:00.000000,2018-10-10 00:00:00.000000,Open,,COMP,AUTO,MEDIUM,AZ,,Injury-Compound,ADJ01-1007469,,Y,Y,Open,,,,Unassigned,,
CLM01-10011,IA01-10011,POL01-1007102,INC01-100012,2019-01-24 00:00:00.000000,2019-01-25 00:00:00.000000,Open,,PD,AUTO,HIGH,NY,,FastTrack,ADJ01-1007040,,,,Close,,,,Unassigned,,
CLM01-10014,IA01-10014,POL01-1014592,INC01-100015,2018-01-21 00:00:00.000000,2018-01-26 00:00:00.000000,Open,,BI,AUTO,HIGH,MS,,Medical Claims,ADJ01-1001498,,,,Open,,,,Assigned,2,
CLM01-10015,IA01-10015,POL01-1008881,INC01-100016,2018-12-12 00:00:00.000000,2018-12-14 00:00:00.000000,Closed,2019-02-04 23:22:31.731493,COMP,AUTO,MEDIUM,VA,,Physical,ADJ01-1005502,,Y,Y,Open,Y,Y,,Unassigned,,Closed without payment
CLM01-10017,IA01-10017,POL01-1023748,INC01-100018,2018-04-20 00:00:00.000000,2018-04-20 00:00:00.000000,Open,,COMP,AUTO,MEDIUM,KS,,Glass,ADJ01-1007827,,Y,Y,Close,,,Y,Unassigned,,
CLM01-10019,IA01-10019,POL01-1008179,INC01-100020,2018-12-14 00:00:00.000000,2018-12-18 00:00:00.000000,Closed,2019-02-04 23:22:31.731585,BI,AUTO,HIGH,NV,,Injury,ADJ01-1016390,,,,Close,Y,Y,,Assigned,10,Reported in siu
CLM01-10020,IA01-10020,POL01-1009830,INC01-100021,2018-07-20 00:00:00.000000,2018-07-22 00:00:00.000000,Open,,PD,AUTO,HIGH,VA,,Injury,ADJ01-1019581,,,,Close,,Y,Y,Unassigned,,
CLM01-10022,IA01-10022,POL01-1009227,INC01-100023,2018-12-08 00:00:00.000000,2018-12-11 00:00:00.000000,Closed,2019-02-04 23:22:31.731635,COL,AUTO,MEDIUM,WA,,Salvage,ADJ01-1011507,,Y,Y,Close,,,Y,Unassigned,,Closed with payments
CLM01-10024,IA01-10024,POL01-1002810,INC01-100025,2018-12-30 00:00:00.000000,2019-01-01 00:00:00.000000,Open,,COMP,AUTO,MEDIUM,WI,,Analyst Vendor IPD,ADJ01-1012212,,Y,Y,Open,Y,Y,,Unassigned,,
CLM01-10027,IA01-10027,POL01-1007804,INC01-100028,2018-10-02 00:00:00.000000,2018-10-07 00:00:00.000000,Open,,PD,AUTO,HIGH,AR,,Subrogation,ADJ01-1010803,,,,Close,Y,,Y,Unassigned,,
CLM01-10029,IA01-10029,POL01-1010473,INC01-100030,2018-01-02 00:00:00.000000,2018-01-07 00:00:00.000000,Open,,COL,AUTO,MEDIUM,DC,,Analyst Vendor IPD,ADJ01-1015931,,Y,Y,Close,,,Y,Unassigned,,
CLM01-10032,IA01-10032,POL01-1012573,INC01-100033,2018-01-22 00:00:00.000000,2018-01-27 00:00:00.000000,Open,,PD,AUTO,HIGH,AR,,Tow,ADJ01-1011090,,,,Open,,,Y,Unassigned,,
CLM01-10033,IA01-10033,POL01-1005079,INC01-100034,2018-07-30 00:00:00.000000,2018-08-04 00:00:00.000000,Open,,COMP,AUTO,MEDIUM,DC,,FastTrack,ADJ01-1003626,,Y,Y,Open,Y,Y,,Unassigned,,
CLM01-10034,IA01-10034,POL01-1016832,INC01-100035,2018-02-21 00:00:00.000000,2018-02-22 00:00:00.000000,Open,,COMP,AUTO,MEDIUM,NH,,FastTrack,ADJ01-1011116,,Y,Y,Open,Y,Y,Y,Unassigned,,
CLM01-10035,IA01-10035,POL01-1015776,INC01-100036,2018-12-11 00:00:00.000000,2018-12-13 00:00:00.000000,Open,,GLASS,AUTO,LOW,MA,Y,Tow,ADJ01-1019610,,,,Open,Y,,Y,Unassigned,,
CLM01-10036,IA01-10036,POL01-1020212,INC01-100037,2018-04-16 00:00:00.000000,2018-04-17 00:00:00.000000,Open,,BI,AUTO,HIGH,ME,,FastTrack,ADJ01-1019501,,,,Open,Y,Y,,Assigned,5,
